A坂,B坂,5
C坂,A山,1
D森,E山,2
B森,C山,2
E木,D木,2
B森,B木,2
E森,D山,0
F森,E坂,5
F村,A山,4
G山,B坂,2
F木,G村,1
D坂,A木,5
E森,E山,2
B村,E木,1
E村,F木,0
E山,G村,4
E森,A森,4
B村,A村,0
E森,C村,6
E木,A村,4
G山,C坂,2
G木,D坂,2
E村,A坂,0
B村,D村,1
G山,E坂,4
F坂,B森,4
D山,A木,3
C木,F村,1
B村,G木,1
A森,D坂,0
D坂,C村,2
A村,C山,2
B木,F村,2
B山,A木,1
E木,F森,0
F坂,F木,2
E森,B坂,2
B村,D木,1
F村,D木,0
G山,D山,1
F森,C森,3
F山,C坂,1
B森,F村,2
G木,B坂,2
G坂,F木,1
B坂,E坂,1
A村,E山,0
D森,B坂,3
G山,D坂,4
D坂,B木,0
G木,C坂,0
E村,G森,1
E森,A坂,3
B村,C森,1
G坂,E山,3
D坂,E坂,3
F山,A木,1
A木,B坂,0
D坂,C森,1
A木,E山,2
F山,G坂,1
F木,C山,1
A森,C坂,3
D森,A坂,0
B山,C木,0
B村,B木,4
C村,C坂,1
E森,F森,1
A坂,D木,6
F山,D村,0
D森,A山,1
A木,F村,0
C坂,G村,1
F坂,A坂,1
G木,D山,0
E木,B坂,1
E木,F山,1
D坂,A山,2
F山,A村,3
E木,B森,1
C山,D木,3
G坂,G森,2
G山,D木,3
A村,B森,3
D森,F森,2
B森,D村,2
A村,G森,4
C木,B木,2
B山,E木,6
G山,C木,2
G森,D村,1
F森,A山,2
B山,D森,2
A木,B森,3
C坂,F村,0
B森,D木,4
E木,C山,2
B木,E山,3
B森,E坂,2
E森,F山,0
A木,D村,2
C木,B森,1
G山,A山,2
A木,A坂,1
F山,C木,0
G木,D木,0
E森,B森,1
D山,A森,2
D山,C村,1
A村,A山,3
A村,G村,2
F坂,C坂,2
D森,F山,2
B山,E村,3
G木,C木,2
F山,D木,3
E森,F木,3
G森,A坂,2
C山,E坂,0
D木,G村,1
E山,D木,1
F山,B森,2
A森,C木,5
C木,C村,1
B山,C坂,1
F森,G村,1
F坂,E木,1
F坂,A村,3
B坂,C森,2
C木,G村,3
C木,E山,3
E村,F森,1
G木,A山,1
A森,D木,2
G山,B森,1
B村,D山,0
C村,D木,3
F坂,D村,3
B山,G坂,1
E村,A山,1
F山,B木,4
B坂,B木,4
F木,E山,0
G坂,A坂,1
B村,E山,3
G坂,C森,1
G坂,B森,4
E木,G森,4
G坂,A山,2
D山,A山,0
B村,C村,3
B村,A森,2
E森,A村,3
C坂,B木,3
F木,F村,4
A坂,C森,1
E村,C森,2
E森,D村,3
F村,E坂,1
G坂,F森,4
D山,F森,2
C坂,C森,0
D村,C山,3
E坂,C森,5
E村,C木,3
B山,G木,4
D坂,E木,0
E森,F坂,1
A森,F森,2
F森,C村,1
C山,A山,2
G坂,C木,4
F山,F村,3
C坂,B森,2
E村,D木,2
E森,G坂,3
D村,E山,1
E村,B森,1
D森,F坂,1
F坂,C木,2
D山,D村,5
F森,B木,1
D村,C森,4
E村,A森,1
E村,C村,0
E木,F村,1
G山,C山,1
B村,A坂,0
A村,C森,6
D森,B木,2
D森,G山,1
E森,C森,2
E村,D村,0
D村,B木,1
D森,E村,3
D坂,A坂,3
G山,A森,0
D山,B坂,0
B山,G山,1
G山,C村,5
A村,B木,3
E森,C坂,1
D山,F山,2
A村,C坂,0
E森,B木,0
E森,G山,3
D山,E坂,2
B村,F森,2
C坂,E山,2
G木,E山,2
F山,G森,2
A森,B坂,1
C村,B坂,4
A森,F山,0
F山,C村,2
A森,B森,1
A木,E坂,1
C村,B森,1
B木,D木,3
F坂,G山,1
D山,G坂,2
A木,F森,2
B山,B村,4
A村,D村,3
F山,G村,3
G山,A坂,3
B坂,G村,1
A木,A山,1
C木,C森,1
F木,B木,5
E森,G木,3
B村,C山,1
E村,C坂,4
A森,C山,3
C村,C山,2
F坂,F村,2
A木,A村,1
B村,B坂,2
G坂,C坂,3
F森,D村,2
D坂,G坂,2
D山,B木,3
G森,A山,1
D村,G村,1
G坂,F村,2
F坂,D坂,2
B山,F村,4
D森,E坂,1
B山,C森,1
F森,B坂,3
F山,F森,3
G木,A坂,1
C山,F村,0
A木,G村,2
E村,D坂,3
F山,A山,5
E森,C木,2
G木,F木,4
C木,A村,1
G山,G森,3
F坂,E山,2
A木,F木,4
F山,A坂,2
D森,D山,1
F坂,A森,1
F坂,C村,1
D村,D木,2
G山,G坂,1
A村,D木,1
D森,A木,1
G山,F山,2
D山,F木,1
B森,C森,1
B村,G村,5
B村,G森,4
C木,C坂,3
A森,G森,2
F坂,A木,2
C村,G森,3
B山,G森,1
C坂,E坂,3
F村,C森,1
E村,E坂,0
E村,G山,0
A坂,E坂,4
D山,D木,2
G森,C山,0
G坂,D木,2
D坂,G森,0
B木,G村,4
G木,G坂,0
D坂,B森,4
E村,F山,3
F木,B坂,1
D山,A村,3
A森,G村,3
C村,G村,2
A木,B木,1
A木,C山,3
E森,F村,2
E村,A村,5
B村,F木,2
A森,F村,1
C村,F村,1
E村,E木,1
E木,A坂,2
D山,G村,1
D村,F村,2
G坂,G村,0
E木,E坂,1
A村,E坂,0
D森,F村,4
C坂,D村,3
G山,E木,2
D村,E坂,1
B村,G山,0
D村,B坂,2
F坂,C森,2
A村,B坂,0
E山,E坂,3
G森,B森,2
E木,G坂,1
E村,G村,1
F森,C木,1
G木,A木,1
A森,C村,4
D坂,C山,7
B山,E森,0
C木,E坂,2
F森,D木,2
F木,A坂,1
C木,A坂,2
B木,C森,3
D森,E森,2
B山,D坂,0
G木,E木,2
D木,A山,2
E森,C山,1
G木,A村,4
B村,D坂,1
E村,F坂,5
F森,A村,2
D森,B森,1
C山,E山,2
B村,G坂,1
E山,C森,0
C坂,B坂,2
B山,D山,3
E村,G坂,6
G山,A木,3
F山,E坂,2
B山,E山,1
G木,B木,1
F木,G森,2
A森,C森,3
C村,C森,3
G木,E坂,3
G村,A山,2
C木,D村,3
G山,A村,2
A森,B木,0
C村,B木,2
B村,C坂,2
E村,C山,5
D坂,F村,2
D坂,E山,1
F坂,G森,1
B村,A木,2
G坂,C山,1
G森,D木,0
D森,G村,4
B山,F山,5
B山,B坂,2
B山,B森,1
F森,C坂,1
A木,C木,3
E森,G村,0
G山,B木,3
B山,A村,3
E森,G森,5
F山,B坂,2
A森,D村,0
C村,D村,1
F坂,D木,1
B山,D村,3
B木,E坂,3
A木,D木,1
D森,A森,2
C坂,A坂,4
D森,C村,1
F坂,D山,2
D森,G森,1
G山,F村,3
A森,A木,2
A木,C村,2
D森,G坂,5
B木,A山,2
D山,G森,2
C木,B坂,1
G村,C森,1
E木,A山,1
D坂,F山,1
D山,A坂,2
E木,G村,3
C森,A山,0
B山,F木,2
C木,C山,0
B坂,D木,5
D坂,C木,2
E森,E村,0
A村,F村,2
F坂,F山,2
B山,A坂,2
E山,A山,2
A森,A坂,2
C村,A坂,3
D森,C坂,2
B村,E坂,2
A森,E坂,1
C村,E坂,3
B森,B坂,3
G木,F村,2
B村,C木,1
G森,C坂,1
F森,E山,4
F森,F木,3
G森,B坂,3
D山,C坂,2
G村,E坂,0
E森,A山,3
D山,F村,1
F木,A山,4
A森,G坂,3
G坂,C村,0
E村,E山,2
A木,C坂,5
G坂,D村,3
F村,G村,3
D坂,F森,0
F坂,F森,3
A森,E木,4
E木,C村,1
E村,F村,1
F木,C森,2
D森,G木,4
F坂,A山,6
F坂,G坂,3
